id,name,bodyPart,mode,instructions,mediaUrl,type,exRxLink,classification,target,synergists,stabilizers,dynamicStabilizers
e0011,Cable Rope Tricep Extension,TRICEPS,PUSH,,020013,STRENGTH,https://exrx.net/WeightExercises/Triceps/CBPushdown,NEUTRAL,TRICEPS_BRACHII,,,
e0012,Skull Crushers,TRICEPS,PUSH,,413013,STRENGTH,https://exrx.net/WeightExercises/Triceps/BBLyingTriExtSC,BASIC,TRICEPS_BRACHII,,,
e0013,Machine Tricep Extension,TRICEPS,PUSH,,172213,STRENGTH,https://exrx.net/WeightExercises/Triceps/LVTriExtPreacherPad,NEUTRAL,TRICEPS_BRACHII,,,
e0014,Tate Press,TRICEPS,PUSH,,043613,STRENGTH,,AUXILIARY,TRICEPS_BRACHII,,,
e0015,Cobra Press,TRICEPS,PUSH,,348813,STRENGTH,,AUXILIARY,TRICEPS_BRACHII,,,
e0016,Barbell Bench Press,CHEST,PUSH,,002513,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/BBBenchPress,BASIC,PECTORALIS_MAJOR_STERNAL,,,
e0017,Barbell Incline Press,CHEST,PUSH,,004713,STRENGTH,https://exrx.net/WeightExercises/PectoralClavicular/BBInclineBenchPress,NEUTRAL,PECTORALIS_MAJOR_CLAVICULAR,,,
e0018,Smith Machine Bench Press,CHEST,PUSH,,074813,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/SMBenchPress,BASIC,PECTORALIS_MAJOR_STERNAL,,,
e0019,Cable Crossover ,CHEST,PUSH,,022713,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/CBStandingFly,AUXILIARY,PECTORALIS_MAJOR_STERNAL,,,
e0020,Machine Fly,CHEST,PUSH,,059613,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/LVSeatedFly,AUXILIARY,PECTORALIS_MAJOR_STERNAL,,,
e0021,Push Up,CHEST,PUSH,,066213,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/BWPushup,NEUTRAL,PECTORALIS_MAJOR_STERNAL,,,
e0022,EZ-Bar Curl,BICEPS,PULL,,044713,STRENGTH,https://exrx.net/WeightExercises/Biceps/BBCurl,BASIC,BICEPS_BRACHII,,,
e0023,Hammer Curls,FOREARMS,PULL,,031313,STRENGTH,https://exrx.net/WeightExercises/Brachioradialis/DBHammerCurl,AUXILIARY,BRACHORADIALIS,,,
e0024,Incline Dumbbell Curls,BICEPS,PULL,,031513,STRENGTH,https://exrx.net/WeightExercises/Biceps/DBInclineCurl,NEUTRAL,BICEPS_BRACHII,,,
e0025,Dumbbell Curls,BICEPS,PULL,,028513,STRENGTH,https://exrx.net/WeightExercises/Biceps/DBCurl,BASIC,BICEPS_BRACHII,,,
e0026,Preacher Curls,BICEPS,PULL,,640613,STRENGTH,https://exrx.net/WeightExercises/Brachialis/BBPreacherCurl,AUXILIARY,BRACHIALIS,,,
e0027,Cable Preacher Curls,BICEPS,PULL,,019513,STRENGTH,https://exrx.net/WeightExercises/Brachialis/CBPreacherCurl,AUXILIARY,BRACHIALIS,,,
e0028,Seated Leg Curl,HAMSTRINGS,LOWER,,059913,STRENGTH,https://exrx.net/WeightExercises/Hamstrings/LVSeatedLegCurl,BASIC,HAMSTRINGS,,,
e0029,Deadlift,GLUTES,LOWER,,003213,STRENGTH,https://exrx.net/WeightExercises/GluteusMaximus/BBDeadlift,BASIC,GLUTEUS_MAXIMUS,"QUADS,HAMSTRINGS",ERECTOR_SPINAE,
e0030,Dumbbell Stiff Legged Deadlift,HAMSTRINGS,LOWER,,334013,STRENGTH,https://exrx.net/WeightExercises/Hamstrings/DBStrBackStrLegDeadlift,NEUTRAL,HAMSTRINGS,,,
e0031,Romanian Deadlift,HAMSTRINGS,LOWER,,008513,STRENGTH,https://exrx.net/WeightExercises/OlympicLifts/RomanianDeadlift,,,,,
e0032,Goodmorning,HAMSTRINGS,LOWER,,009013,STRENGTH,https://exrx.net/WeightExercises/Hamstrings/BBGoodMorning,NEUTRAL,HAMSTRINGS,,ERECTOR_SPINAE,
e0033,Ab Crunch Machine,ABS,CORE,,145213,STRENGTH,https://exrx.net/WeightExercises/RectusAbdominis/LVSeatedCrunch,BASIC,,,,
e0034,Vertical Leg Raise,ABS,CORE,,296313,STRENGTH,https://exrx.net/WeightExercises/HipFlexors/BWVerticalStraightLegRaise,BASIC,,,,
e0035,Crunches,ABS,CORE,,027413,STRENGTH,https://exrx.net/WeightExercises/RectusAbdominis/BWCrunch,BASIC,,,,
e0036,Vertical Knee Raise,ABS,CORE,,510713,STRENGTH,https://exrx.net/WeightExercises/HipFlexors/BWVerticalLegRaise,BASIC,,,,
e0037,Decline Sit-Up,ABS ,CORE,,028213,STRENGTH,https://exrx.net/WeightExercises/HipFlexors/WtDeclineSitup,BASIC,,,,
e0038,Sit Up,ABS,CORE,,073613,STRENGTH,https://exrx.net/WeightExercises/RectusAbdominis/BWSitUp,BASIC,,,,
