id,name,bodyPart,mode,instructions,mediaUrl,type,exRxLink,classification,target,synergists,stabilizers,dynamicStabilizers,youtubeId
e0011,Cable Rope Tricep Extension,TRICEPS,PUSH,,20013,STRENGTH,https://exrx.net/WeightExercises/Triceps/CBPushdown,NEUTRAL,TRICEPS_BRACHII,,,,JDEDaZTEzGE
e0012,Skull Crushers,TRICEPS,PUSH,,413013,STRENGTH,https://exrx.net/WeightExercises/Triceps/BBLyingTriExtSC,BASIC,TRICEPS_BRACHII,,,,jO2Jl9eZpXk
e0013,Machine Tricep Extension,TRICEPS,PUSH,,172213,STRENGTH,https://exrx.net/WeightExercises/Triceps/LVTriExtPreacherPad,NEUTRAL,TRICEPS_BRACHII,,,,_JoblP7fggo
e0014,Tate Press,TRICEPS,PUSH,,43613,STRENGTH,,AUXILIARY,TRICEPS_BRACHII,,,,cZJ-4Ll3uAo
e0015,Cobra Press,TRICEPS,PUSH,,348813,STRENGTH,,AUXILIARY,TRICEPS_BRACHII,,,,
e0016,Barbell Bench Press,CHEST,PUSH,,2513,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/BBBenchPress,BASIC,PECTORALIS_MAJOR_STERNAL,,,,ejI1Nlsul9k
e0017,Barbell Incline Press,CHEST,PUSH,,4713,STRENGTH,https://exrx.net/WeightExercises/PectoralClavicular/BBInclineBenchPress,NEUTRAL,PECTORALIS_MAJOR_CLAVICULAR,,,,PZ7waXzAzZc
e0018,Smith Machine Bench Press,CHEST,PUSH,,74813,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/SMBenchPress,BASIC,PECTORALIS_MAJOR_STERNAL,,,,1UMDU-HmGYc
e0019,Cable Crossover,CHEST,PUSH,,22713,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/CBStandingFly,AUXILIARY,PECTORALIS_MAJOR_STERNAL,,,,hhruLxo9yZU
e0020,Machine Fly,CHEST,PUSH,,59613,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/LVSeatedFly,AUXILIARY,PECTORALIS_MAJOR_STERNAL,,,,eGjt4lk6g34
e0021,Push Up,CHEST,PUSH,,66213,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/BWPushup,NEUTRAL,PECTORALIS_MAJOR_STERNAL,,,,0pkjOk0EiAk
e0022,EZ-Bar Curl,BICEPS,PULL,,44713,STRENGTH,https://exrx.net/WeightExercises/Biceps/BBCurl,BASIC,BICEPS_BRACHII,,,,-gSM-kqNlUw
e0023,Hammer Curls,FOREARMS,PULL,,31313,STRENGTH,https://exrx.net/WeightExercises/Brachioradialis/DBHammerCurl,AUXILIARY,BRACHORADIALIS,,,,RIEMoYL_h1Y
e0024,Incline Dumbbell Curls,BICEPS,PULL,,31513,STRENGTH,https://exrx.net/WeightExercises/Biceps/DBInclineCurl,NEUTRAL,BICEPS_BRACHII,,,,aG7CXiKxepw
e0025,Dumbbell Curls,BICEPS,PULL,,28513,STRENGTH,https://exrx.net/WeightExercises/Biceps/DBCurl,BASIC,BICEPS_BRACHII,,,,l1tXK8CzxB4
e0026,Preacher Curls,BICEPS,PULL,,640613,STRENGTH,https://exrx.net/WeightExercises/Brachialis/BBPreacherCurl,AUXILIARY,BRACHIALIS,,,,dgaJQXa0kbg
e0027,Cable Preacher Curls,BICEPS,PULL,,19513,STRENGTH,https://exrx.net/WeightExercises/Brachialis/CBPreacherCurl,AUXILIARY,BRACHIALIS,,,,
e0028,Seated Leg Curl,HAMSTRINGS,LOWER,,59913,STRENGTH,https://exrx.net/WeightExercises/Hamstrings/LVSeatedLegCurl,BASIC,HAMSTRINGS,,,,ceG0f6ntNcw
